Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Wetbulb Temperature [C](TimeStep),Environment:Site Outdoor Air Relative Humidity [%](TimeStep),Environment:Site Wind Speed [m/s](TimeStep),Environment:Site Wind Direction [deg](TimeStep),EMS:currentDayOfMonth [](TimeStep),EMS:currentDayOfWeek [](TimeStep),EMS:currentTimeOfDay [](TimeStep),EMS:currentHoliday [](TimeStep),BASEMENT:Zone Air Temperature [C](TimeStep),CORE_BOTTOM:Zone Air Temperature [C](TimeStep),CORE_MID:Zone Air Temperature [C](TimeStep),CORE_TOP:Zone Air Temperature [C](TimeStep),GROUNDFLOOR_PLENUM:Zone Air Temperature [C](TimeStep),MIDFLOOR_PLENUM:Zone Air Temperature [C](TimeStep),PERIMETER_BOT_ZN_1:Zone Air Temperature [C](TimeStep),PERIMETER_BOT_ZN_2:Zone Air Temperature [C](TimeStep),PERIMETER_BOT_ZN_3:Zone Air Temperature [C](TimeStep),PERIMETER_BOT_ZN_4:Zone Air Temperature [C](TimeStep),PERIMETER_MID_ZN_1:Zone Air Temperature [C](TimeStep),PERIMETER_MID_ZN_2:Zone Air Temperature [C](TimeStep),PERIMETER_MID_ZN_3:Zone Air Temperature [C](TimeStep),PERIMETER_MID_ZN_4:Zone Air Temperature [C](TimeStep),PERIMETER_TOP_ZN_1:Zone Air Temperature [C](TimeStep),PERIMETER_TOP_ZN_2:Zone Air Temperature [C](TimeStep),PERIMETER_TOP_ZN_3:Zone Air Temperature [C](TimeStep),PERIMETER_TOP_ZN_4:Zone Air Temperature [C](TimeStep),TOPFLOOR_PLENUM:Zone Air Temperature [C](TimeStep),Whole Building:Facility Total Building Electric Demand Power [W](TimeStep),Whole Building:Facility Total HVAC Electric Demand Power [W](TimeStep),Whole Building:Facility Total Electric Demand Power [W](TimeStep),HTGSETP_SCH:Schedule Value [](TimeStep),HW-LOOP-TEMP-SCHEDULE:Schedule Value [](TimeStep),CW-LOOP-TEMP-SCHEDULE:Schedule Value [](TimeStep),CLGSETP_SCH:Schedule Value [](TimeStep),BLDG_LIGHT_SCH:Schedule Value [](TimeStep),COOLSYS1 CHILLER 1:Chiller Evaporator Outlet Temperature [C](TimeStep),COOLSYS1 CHILLER 2:Chiller Evaporator Outlet Temperature [C](TimeStep),HEATSYS1 BOILER:Boiler Outlet Temperature [C](TimeStep) 
 07/17  00:05:00,25.4916666666667,23.8148148340037,87.1666666666667,3.68333333333333,239.166666666667,17.,5.,8.333333333333333E-002,0.0,24.7028176838974,24.5794787366634,24.6068501813848,24.7203254370614,25.1232395745516,25.0913047255357,24.6884494756262,23.8113848260973,24.6614652323398,23.8553133756301,24.6845226711441,23.6646117941599,24.6812810234935,23.744840187822,24.8129130474137,24.0622751020279,24.7873875658217,23.9182663446821,25.6335045600441,287767.469609045,2.22371311083204,287769.693322155,15.6,82.2,6.7,27.,5.000000000000000E-002,9.45248074860302,9.45248074860302,80.0912729848941 
 07/17  00:10:00,25.3833333333333,23.732949326062,87.3333333333333,3.76666666666667,238.333333333333,17.,5.,0.166666666666667,0.0,24.8781827037624,25.0533453782157,25.1003499458795,25.2931657478252,25.2545251230978,25.2267296917836,25.2492881357038,24.5674455680928,25.1737271499604,24.6859996165993,25.2649667497549,24.4355838327618,25.209700249125,24.6085478452617,25.4356948940172,24.8349388801212,25.363826861024,24.814912400702,25.7942650930052,287767.469609045,2.2215900234812,287769.691199068,15.6,82.2,6.7,27.,5.000000000000000E-002,9.45248074860302,9.45248074860302,80.0912729848941 
 07/17  00:15:00,25.275,23.6509695851131,87.5,3.85,237.5,17.,5.,0.25,0.0,25.0002866576988,25.3569996067347,25.4150589920317,25.6502448273877,25.3395435250646,25.3141049255819,25.5612422821828,24.9792215892588,25.4607863084358,25.133682364214,25.5853494784412,24.8530034395179,25.5033287239791,25.0689088397762,25.7720645604471,25.2487192594696,25.6776685176556,25.2875010103547,25.8750556311368,287767.469609045,2.21998106086235,287769.689590105,15.6,82.2,6.7,27.,5.000000000000000E-002,9.45248074860302,9.45248074860302,80.0912729848941 
 07/17  00:20:00,25.1666666666667,23.5688463865049,87.6666666666667,3.93333333333333,236.666666666667,17.,5.,0.333333333333333,0.0,25.0979999742347,25.6298368460292,25.6943434269263,25.957661949283,25.4142330382627,25.3905201678994,25.8118068734519,25.2984028587289,25.6946940961104,25.4775017314529,25.8349397845172,25.1747670734418,25.7351663755097,25.4175659743743,26.0273169604497,25.5613444699484,25.9174784228449,25.6391656843563,25.9272549144965,287767.469609045,2.21888199499738,287769.68849104,15.6,82.2,6.7,27.,5.000000000000000E-002,9.45248074860302,9.45248074860302,80.0912729848941 
 07/17  00:25:00,25.0583333333333,23.4866047784599,87.8333333333333,4.01666666666667,235.833333333333,17.,5.,0.416666666666667,0.0,25.1445074226137,25.806674354226,25.8730508889685,26.1554138514357,25.4591109219984,25.4363114615716,25.9424391171559,25.479456439896,25.8175277093233,25.6668000967177,25.9677974464963,25.3614535816661,25.8593333870889,25.606715962501,26.1685456839195,25.7353092592808,26.0519536015748,25.8245593988558,25.9479583481316,287767.469609045,2.21821421522185,287769.68782326,15.6,82.2,6.7,27.,5.000000000000000E-002,9.45248074860302,9.45248074860302,80.0912729848941 
 07/17  00:30:00,24.95,23.404239514033,88.,4.1,235.,17.,5.,0.5,0.0,25.1743903033393,25.9359403139892,26.0048490395312,26.3102578745023,25.4959437825432,25.4738003644542,26.0258799402513,25.6050330437863,25.8959301838522,25.8007845102791,26.0545264279025,25.4920383188482,25.9398985983903,25.7461257881341,26.2668191594009,25.8643041954751,26.1459262833483,25.9681548916287,25.9588550261731,287767.469609045,2.21797969476237,287769.687588739,15.6,82.2,6.7,27.,5.000000000000000E-002,9.45248074860302,9.45248074860302,80.0912729848941 
 07/17  00:35:00,24.8416666666667,23.3217348148089,88.1666666666667,4.18333333333333,234.166666666667,17.,5.,0.583333333333333,0.0,25.1935298027054,26.0291504885282,26.1005490234035,26.4243161112887,25.527266296353,25.505551219014,26.0798523539078,25.6910561982906,25.9462519587933,25.8939192968249,26.1112981352577,25.5812147761139,25.9921012833769,25.8429702319224,26.3323765429713,25.9565134594327,26.2086933101876,26.0732608632653,25.9632983797247,287767.469609045,2.21815580577219,287769.68776485,15.6,82.2,6.7,27.,5.000000000000000E-002,9.45248074860302,9.45248074860302,80.0912729848941 
 07/17  00:40:00,24.7333333333333,23.2391041489526,88.3333333333333,4.26666666666667,233.333333333333,17.,5.,0.666666666666667,0.0,25.2057272204402,26.0972749332712,26.1710338333656,26.5085366486075,25.5544093695814,25.5335079717232,26.1157037130855,25.751709783263,25.9791766967871,25.9604002717581,26.149346108063,25.6437290619909,26.0265235688286,25.9115393191763,26.3766471054659,26.0216948476861,26.2508558520152,26.1485432017982,25.9635049098333,287767.469609045,2.21872173887936,287769.688330783,15.6,82.2,6.7,27.,5.000000000000000E-002,9.45248074860302,9.45248074860302,80.0912729848941 
 07/17  00:45:00,24.625,23.156358195634,88.5,4.35,232.5,17.,5.,0.75,0.0,25.2134305396555,26.1483049846773,26.224313608136,26.5719855138218,25.5766075091986,25.5564390759713,26.1402582401121,25.7961747343481,26.0011977630396,26.009680086711,26.1756231731145,25.6893330787464,26.0497366345371,25.9618787139096,26.4072709774337,26.0689039454621,26.2796872753372,26.2036894509895,25.9607572329649,287767.469609045,2.21965832320041,287769.689267368,15.6,82.2,6.7,27.,5.000000000000000E-002,9.45248074860302,9.45248074860302,80.0912729848941 
 07/17  00:50:00,24.5166666666667,23.0734838489255,88.6666666666667,4.43333333333333,231.666666666667,17.,5.,0.833333333333333,0.0,25.2181638544255,26.1876669208424,26.265866821537,26.6211500911073,25.5945744955504,25.5751250375584,26.1573639612695,25.8297553332044,26.0160646331247,26.0472362542292,26.1941397237868,25.7237416160213,26.065601717048,25.9999620405223,26.4288510404681,26.1040118103698,26.2996855875784,26.2450919848881,25.9557495533453,287767.469609045,2.22094786775194,287769.690556912,15.6,82.2,6.7,27.,5.000000000000000E-002,9.45248074860302,9.45248074860302,80.0912729848941 
